Subgroup,n,OR,CI_L,CI_U,p
Sex: Male,1555902,0.6328448949182173,0.6255112695981664,0.6402645011996816,0.0
Sex: Female,1686316,0.6136971677547579,0.6006623452960382,0.627014855616746,0.0
Age: 18-24,168436,0.8923553697046849,0.8629513310206897,0.9227613159816693,2.699112287824461e-11
Age: 25-34,350936,0.7991169775012398,0.781356059555556,0.8172816169032501,3.766108072493793e-85
Age: 35-44,426824,0.6648324884740493,0.6515958713707731,0.678337996219573,0.0
Age: 45-54,509392,0.528987227565558,0.5195775958195887,0.5385672692181651,0.0
Age: 55-64,669293,0.5049158683501955,0.4970229318609245,0.5129341480428281,0.0
Age: 65+,1117337,0.5332091665203804,0.5256532811662964,0.5408736622561164,0.0
